Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Le, VP; Flores, JM; Lee, HJ; Tran, TS",,,,"Le, Van Phuc; Marvin Flores, Julius; Lee, Hyun Jong; Tran, Thai Son",,,,,,,,,,,,,,,,,,,,,"Tran, Thai Son/AFP-1110-2022","Tran, Thai Son/0000-0001-9652-2302; Flores, Julius Marvin/0000-0002-3479-3040",,,,,12,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Qiu, YJ; Yuan, H; Ding, HB; Li, RK; Zhou, ZF",,,,"Qiu, Yanjun; Yuan, Hai; Ding, Haibo; Li, Rukai; Zhou, Zhengfeng",,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Zhang, HL; Zhang, Z; Lv, JW; Zhang, G",,,,"Zhang, Hongliang; Zhang, Zhen; Lv, Jianwei; Zhang, Ge",,,,,,,,,,,,,,,,,,,,,"zhen, zhang/HNI-7910-2023",,,,,,43,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Xiao, F; Yang, SX; Cheng, JC",,,,"Xiao, Feng; Yang, Shunxin; Cheng, Jianchuan",,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Mucka, P",,,,"Mucka, Peter",,,,,,,,,,,,,,,,,,,,,"Múčka, Peter/T-2148-2018","Múčka, Peter/0000-0002-9920-1309",,,,,54,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Sakthivel, SN; Kathuria, A; Singh, B",,,,"Sakthivel, Surya Narayanan; Kathuria, Ankit; Singh, Bhupendra",,,,,,,,,,,,,,,,,,,,,,"Singh, Bhupendra/0000-0003-3935-4108; Sakthivel, Surya Narayanan/0000-0001-7451-0730",,,,,105,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Dong, RK; Yang, HF; Zhao, MZ; Hui, W",,,,Dong Ruikun; Yang Huifang; Zhao Mengzhen; Hui Wang,,,,,,,,,,,,,,,,,,,,,"Wang, Hui/GLT-7990-2022","Wang, Hui/0000-0001-7803-7493",,,,,51,,,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Asib, AM; Romero, P; Safazadeh, F",,,,"Asib, Abu Sufian Mohammad; Romero, Pedro; Safazadeh, Faramarz",,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Sharma, A; Naga, GRR; Kumar, P; Raha, S",,,,"Sharma, Ankit; Naga, Gondaimei Ransinchung Rongmei; Kumar, Praveen; Raha, Sumanta",,,,,,,,,,,,,,,,,,,,,,"SHARMA, ANKIT/0000-0002-6274-7658; KUMAR, PRAVEEN/0000-0002-2463-5532",,,,,51,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Duarte, GM; Faxina, AL",,,,"Duarte, Gabriel Macedo; Faxina, Adalberto Leandro",,,,,,,,,,,,,,,,,,,,,,"Duarte, Gabriel/0000-0002-4170-7075",,,,,57,,,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Phan, HT; Le, VP; Lee, HJ",,,,Huy Thien Phan; Van Phuc Le; Hyun Jong Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Wu, CL; Li, LD; Cheng, YC; Gu, ZW; Wang, HT; Tan, XS; Li, H",,,,"Wu, Chunli; Li, Liding; Cheng, Yongchun; Gu, Zhengwei; Wang, Haitao; Tan, Xiaoshu; Li, He",,,,,,,,,,,,,,,,,,,,,,"li, liding/0000-0002-0129-865X",,,,,24,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Rezagholilou, A; Grenfell, J; Halligan, S",,,,"Rezagholilou, Alireza; Grenfell, James; Halligan, Steve",,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Raj, A; Sivakumar, M; Anjaneyulu, MVLR",,,,"Raj, Amal; Sivakumar, M.; Anjaneyulu, M. V. L. R.",,,,,,,,,,,,,,,,,,,,,,"RAJ, AMAL/0000-0002-9550-031X; M V L R, Anjaneyulu/0000-0001-8107-4455",,,,,54,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Ye, ZJ; Wei, Y; Li, JF; Yan, GN; Wang, LB",,,,"Ye, Zhoujing; Wei, Ya; Li, Jianfeng; Yan, Guannan; Wang, Linbing",,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Fan, SP; Zhu, HZ; Lu, ZT",,,,"Fan, Shiping; Zhu, Hongzhou; Lu, Zhangtian",,,,,,,,,,,,,,,,,,,,,,"FAN, Shiping/0000-0003-3599-5821",,,,,38,,,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Sayeh, W; Al-Qadi, IL",,,,"Sayeh, Watheq; Al-Qadi, Imad L.",,,,,,,,,,,,,,,,,,,,,,"Al-Qadi, Imad/0000-0002-5824-103X",,,,,19,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Le, AT; Le, VP; Nguyen, MT",,,,"Le, Anh Thang; Le, Van Phuc; Nguyen, Manh Tuan",,,,,,,,,,,,,,,,,,,,,"Nguyen, Tuan/Y-5739-2019","Le, Anh-Thang/0000-0001-7968-1221",,,,,38,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Amjadian, Y; Ziari, H; Kakhki, SMSM; Abbaspoor, A; Hajiloo, M",,,,"Amjadian, Youssef; Ziari, Hassan; Kakhki, Sayed Mahdi Sharifi Moghaddam; Abbaspoor, Ali; Hajiloo, Mojtaba",,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Islam, MR; Wasiuddin, NM",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Islam, Md Reazul; Wasiuddin, Nazimuddin M.",,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Mansour, E; Mousa, MR; Hassan, M",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Mansour, Elise; Mousa, Momen R.; Hassan, Marwa",,,,,,,,,,,,,,,,,,,,,"Hassan, Marwa/D-8803-2015","Hassan, Marwa/0000-0001-8087-8232",,,,,11,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Oyan, MNS; Hossain, Z",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Oyan, Mohammad Najmush Sakib; Hossain, Zahid",,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Bastola, NR; Souliman, MI; Dessouky, S",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Bastola, Nitish R.; Souliman, Mena, I; Dessouky, Samer",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Al-Amin, M; Hossain, Z",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Al-Amin, Md; Hossain, Zahid",,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Islam, MR; Salomon, D; Wasiuddin, NM",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Islam, Md Reazul; Salomon, Delmar; Wasiuddin, Nazimuddin M.",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
C,"Oyan, MNS; Hossain, Z; Elseifi, M",,"Dessoukey, S; Dhasmana, H; Hassan, M; Mohammad, L",,"Oyan, Mohammad Najmush Sakib; Hossain, Zahid; Elseifi, Mostafa",,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Yan, S; Zhou, CJ; Zhang, J; Li, G",,,,"Yan, Shiao; Zhou, Changjun; Zhang, Jian; Li, Ge",,,,,,,,,,,,,,,,,,,,,"Zhou, Changjun/O-5623-2014","Zhou, Changjun/0000-0002-6685-8590",,,,,41,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Wu, H; Wang, L; Hu, JS; Luo, XD",,,,"Wu, Hui; Wang, Lan; Hu, Jiangsan; Luo, Xuedong",,,,,,,,,,,,,,,,,,,,,"LUO, XUE/HJP-0585-2023","WANG, LAN/0000-0002-8130-3702",,,,,38,,,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Bastidas-Martinez, JG; Reyes-Lizcano, FA; Rondon-Quintana, HA",,,,"Gabriel Bastidas-Martinez, Juan; Alberto Reyes-Lizcano, Fredy; Alexander Rondon-Quintana, Hugo",,,,,,,,,,,,,,,,,,,,,,"Rondon-Quintana, Hugo Alexander/0000-0003-2946-9411",,,,,104,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Amarasiri, S; Muhunthan, B",,,,"Amarasiri, Saumya; Muhunthan, Balasingam",,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"de Barros, AG; Lucena, LCDL; Hernandez, AG",,,,"de Barros, Ablenya Grangeiro; de Figueiredo Lopes Lucena, Leda Christiane; Hernandez, Alvaro Garcia",,,,,,,,,,,,,,,,,,,,,,"Barros, Ablenya/0000-0002-7781-1392",,,,,63,,,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Pape, S; Castorena, C",,,,"Pape, Sonja; Castorena, Cassie",,,,,,,,,,,,,,,,,,,,,,"Castorena, Cassie/0000-0002-5915-0084",,,,,16,,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Obunguta, F; Matsushima, K; Bakamwesiga, H",,,,"Obunguta, Felix; Matsushima, Kakuya; Bakamwesiga, Hilary",,,,,,,,,,,,,,,,,,,,,"Matsushima, Kakuya/V-9179-2019","Matsushima, Kakuya/0000-0002-2196-3303; Obonguta, Felix/0000-0001-8145-6285",,,,,44,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Mallick, RB",,,,"Mallick, Rajib B.",,,,,,,,,,,,,,,,,,,,,"Mallick, Rajib/HHZ-7029-2022",,,,,,15,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Tian, T; Jiang, YJ; Yi, Y; Fan, JT; Yang, DF; Deng, CQ",,,,"Tian, Tian; Jiang, Yingjun; Yi, Yong; Fan, Jiangtao; Yang, Difeng; Deng, Changqing",,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,15,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Tian, JH; Luo, S; Lu, Q; Liu, SC",,,,"Tian, Jiahao; Luo, Sang; Lu, Qing; Liu, Shicheng",,,,,,,,,,,,,,,,,,,,,,"Lu, Qing/0000-0002-9120-9218",,,,,33,,,32,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Karam, J; Salim, R; Kaloush, K",,,,"Karam, Jolina; Salim, Ramadan; Kaloush, Kamil",,,,,,,,,,,,,,,,,,,,,,"Kaloush, Kamil/0000-0003-4112-0503; Karam, Jolina/0000-0003-4234-4584",,,,,21,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Wood, S; Regehr, JD",,,,"Wood, Steven; Regehr, Jonathan D.",,,,,,,,,,,,,,,,,,,,,,"Regehr, Jonathan/0000-0003-4734-5826",,,,,51,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Pai, RR; Bakare, MD; Patel, S; Shahu, JT",,,,"Pai, R. R.; Bakare, M. D.; Patel, S.; Shahu, J. T.",,,,,,,,,,,,,,,,,,,,,"Bakare, Mayuresh Dhanraj/AAN-7183-2021; Bakare, Mayuresh/AAW-1953-2021","Bakare, Mayuresh/0000-0001-7481-8225; Shahu, J.T./0000-0002-2400-1900",,,,,53,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Li, XL; Shen, JN; Ling, TQ; Du, H",,,,"Li, Xiaolong; Shen, Junan; Ling, Tianqing; Du, Hui",,,,,,,,,,,,,,,,,,,,,"wang, xu/IAN-4886-2023","Li, Xiaolong/0000-0002-7501-5042",,,,,28,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Wang, DW; He, YL; Wang, CH; Zhang, ZY; Lu, GY; Liu, PF; Oeser, M",,,,"Wang, Dawei; He, Yulin; Wang, Chonghui; Zhang, Zeyu; Lu, Guoyang; Liu, Pengfei; Oeser, Markus",,,,,,,,,,,,,,,,,,,,,"Zhang, Zeyu/HTO-6741-2023; Liu, Pengfei/B-9291-2018","Oeser, Markus/0000-0002-0380-398X; Liu, Pengfei/0000-0001-5983-7305; Lu, Guoyang/0000-0001-9012-1751",,,,,34,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Ding, YJ; Xi, Y; Li, XL; Tang, BM; Deng, M; Yan, H",,,,"Ding, Yongjie; Xi, Yuan; Li, Xiaolong; Tang, Boming; Deng, Mei; Yan, Heng",,,,,,,,,,,,,,,,,,,,,"wang, xu/IAN-4886-2023; li, xiao/GSN-6181-2022; li, xiao/HKV-8405-2023; li, xiaofeng/GXF-9442-2022; 奚, 源/GVU-8693-2022; li, xiao/HJP-5134-2023","Xi, Yuan/0000-0002-4113-334X",,,,,32,,,18,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Roja, KL; Aljarrah, MF; Sirin, O; Al-Nuaimi, N; Masad, E",,,,"Roja, K. Lakshmi; Aljarrah, Mohammad Fuad; Sirin, Okan; Al-Nuaimi, Nasser; Masad, Eyad",,,,,,,,,,,,,,,,,,,,,"Aljarrah, Mohammad/J-9471-2017; Kakumanu, Lakshmi/AAJ-4646-2020; Sirin, Okan/K-6916-2016","Aljarrah, Mohammad/0000-0002-6643-8721; Sirin, Okan/0000-0002-5124-1061",,,,,51,,,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"You, LY; Long, ZW; You, ZP; Ge, DD; Yang, X; Xu, F; Hashemi, M; Diab, A",,,,"You, Lingyun; Long, Zhengwu; You, Zhanping; Ge, Dongdong; Yang, Xu; Xu, Fu; Hashemi, Mohammad; Diab, Aboelkasim",,,,,,,,,,,,,,,,,,,,,"Diab, Aboelkasim/J-1016-2016","Diab, Aboelkasim/0000-0003-2843-0099; Ge, Dongdong/0000-0003-2890-6552",,,,,138,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Ning, ZY; Liu, YH; Wang, WBA; Dong, J; Meng, X",,,,"Ning, Zhiyuan; Liu, Yunhe; Wang, Weibiao; Dong, Jing; Meng, Xiao",,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Flores, JM; Lee, S; Lee, HJ; Elipse, C; Lee, W",,,,"Flores, Julius Marvin; Lee, Sangyum; Lee, Hyun Jong; Elipse, Carlo; Lee, Wangsoo",,,,,,,,,,,,,,,,,,,,,,"Flores, Julius Marvin/0000-0002-3479-3040",,,,,37,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Liu, WY; Li, JQ; Yang, X; Wang, K; Yu, WY",,,,"Liu, Wenyao; Li, Joshua Qiang; Yang, Xue; Wang, Kelvin; Yu, Wenying",,,,,,,,,,,,,,,,,,,,,,"LIU, WENYAO/0000-0002-1611-4956; Li, Joshua Qiang/0000-0002-2632-7808",,,,,56,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Xiao, R; Polaczyk, P; Wang, YH; Ma, YT; Lu, H; Huang, BS",,,,"Xiao, Rui; Polaczyk, Pawel; Wang, Yanhai; Ma, Yuetan; Lu, Hang; Huang, Baoshan",,,,,,,,,,,,,,,,,,,,,"Ma, Yuetan/R-6961-2018","Lu, Hang/0000-0002-1010-540X",,,,,44,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Zhao, Y; Chen, C; Xiang, YK; Wang, J",,,,"Zhao, Yi; Chen, Chao; Xiang, Yangkai; Wang, Jia",,,,,,,,,,,,,,,,,,,,,"chen, chenchao/HDM-1602-2022",,,,,,31,,,23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Hu, MJ; Ma, JM; Sun, DQ; Hofko, B; Mirwald, J; Zheng, YP; Xu, L",,,,"Hu, Mingjun; Ma, Jianmin; Sun, Daquan; Hofko, Bernhard; Mirwald, Johannes; Zheng, Yunpeng; Xu, Lei",,,,,,,,,,,,,,,,,,,,,"Ma, Jianmin/HGT-9565-2022; Mirwald, Johannes/GYU-5002-2022","Hofko, Bernhard/0000-0002-8329-8687; Mirwald, Johannes/0000-0001-5025-7427",,,,,30,,,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
J,"Li, JW; Ye, X; Zhao, YK; Yang, D; Li, DD; Han, CC; Li, X",,,,"Li, Junwei; Ye, Xia; Zhao, Yongke; Yang, Dan; Li, Dongdong; Han, Changcun; Li, Xin",,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-08,,0
