Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"He, XK; Lou, BC; Yang, HH; Lv, C",,,,"He, Xiangkun; Lou, Baichuan; Yang, Haohan; Lv, Chen",,,,,,,,,,,,,,,,,,,,,"Yang, Haohan/AAW-1224-2021; Lv, Chen/N-7055-2018; He, Xiangkun/ABA-5268-2021","Yang, Haohan/0000-0002-1545-2793; Lv, Chen/0000-0001-6897-4512; He, Xiangkun/0000-0001-9818-0879",,,,,47,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Nguyen, DH",,,,"Nguyen, Dinh Hoa",,,,,,,,,,,,,,,,,,,,,"Nguyen, Dinh Hoa/V-2176-2019","Nguyen, Dinh Hoa/0000-0003-3318-737X",,,,,25,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tan, GG; Zhuang, JY; Zou, J; Wan, L",,,,"Tan, Guoge; Zhuang, Jiayuan; Zou, Jin; Wan, Lei",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Yang, YQ; Ge, MF; Liang, CD; Xu, KT; Wang, LM",,,,"Yang, Ya-Qi; Ge, Ming-Feng; Liang, Chang-Duo; Xu, Kun-Ting; Wang, Leimin",,,,,,,,,,,,,,,,,,,,,,"Liang, Chang-Duo/0000-0002-5354-5990",,,,,54,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wang, YT; Lin, J; Zhang, L; Wang, TH; Xu, H; Qi, YH; Zhang, GY; Liu, Y",,,,"Wang, Yitian; Lin, Jun; Zhang, Liu; Wang, Tianhao; Xu, Hao; Qi, Yuehan; Zhang, Guanyu; Liu, Yang",,,,,,,,,,,,,,,,,,,,,,"Wang, Tianhao/0000-0002-2126-6110; Liu, Yang/0000-0002-8187-0555; XU, HAO/0000-0002-8774-1228",,,,,52,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Chen, C; Sun, ZT; Jiang, X; Zhu, GB",,,,"Chen, Chao; Sun, Ziteng; Jiang, Xue; Zhu, Guibing",,,,,,,,,,,,,,,,,,,,,"Zhu, Guibing/HHZ-2170-2022","Zhu, Guibing/0000-0002-8267-9437; Chen, Chao/0000-0003-2330-881X; sun, ziteng/0000-0003-0981-269X",,,,,48,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tang, J; Dang, ZK; Deng, ZC; Li, CQ",,,,"Tang, Jun; Dang, Zhaokai; Deng, Zhaocai; Li, Chuanqing",,,,,,,,,,,,,,,,,,,,,,"Dang, Zhaokai/0000-0003-1682-9967",,,,,39,,,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Thanh, PNN; Anh, HPH",,,,"Thanh, Pham Nguyen Nhut; Anh, Ho Pham Huy",,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhang, JQ; Yang, X; Wang, W; Guan, JC; Ding, L; Lee, VCS",,,,"Zhang, Jianqi; Yang, Xu; Wang, Wei; Guan, Jinchao; Ding, Ling; Lee, Vincent C. S.",,,,,,,,,,,,,,,,,,,,,"Lee, Vincent CS/ABE-1515-2021","Lee, Vincent CS/0000-0001-5976-4601",,,,,250,,,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Ari, K",,,,"Ari, Kamuran",,,,,,,,,,,,,,,,,,,,,,"Ari, Kamuran/0000-0003-2344-2955",,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Li, MJ; Yu, CY; Zhang, XC; Liu, CH; Lian, L",,,,"Li, Mingjie; Yu, Caoyang; Zhang, Xiaochao; Liu, Chunhu; Lian, Lian",,,,,,,,,,,,,,,,,,,,,,"Li, Mingjie/0000-0003-0089-2830; Yu, Caoyang/0000-0001-7448-1634",,,,,53,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Qu, Y; Cai, LL",,,,"Qu, Yang; Cai, Lilong",,,,,,,,,,,,,,,,,,,,,"Qu, Yang/AFI-0991-2022","Qu, Yang/0000-0002-1840-6135",,,,,88,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wang, X; Xu, J; Liu, P",,,,"Wang, Xing; Xu, Jian; Liu, Ping",,,,,,,,,,,,,,,,,,,,,,"Xu, Jian/0000-0002-1752-6557",,,,,31,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhou, WT; Cao, Z; Deng, NS; Liu, XY; Jiang, K; Yang, DE",,,,"Zhou, Weitao; Cao, Zhong; Deng, Nanshan; Liu, Xiaoyu; Jiang, Kun; Yang, Diange",,,,,,,,,,,,,,,,,,,,,,"Cao, Zhong/0000-0002-2243-5705; Zhou, Weitao/0000-0002-1266-3843",,,,,39,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Vial, A; Hendeby, G; Daamen, W; van Arem, B; Hoogendoorn, S",,,,"Vial, Alphonse; Hendeby, Gustaf; Daamen, Winnie; van Arem, Bart; Hoogendoorn, Serge",,,,,,,,,,,,,,,,,,,,,"; Hendeby, Gustaf/E-5959-2016","Hoogendoorn, Serge/0000-0002-1579-1939; Hendeby, Gustaf/0000-0002-1971-4295; van Arem, Bart/0000-0001-8316-7794",,,,,44,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"An, S; Wang, LJ; He, Y",,,,"An, Shun; Wang, Longjin; He, Yan",,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Bingol, H; Schmidt, KW",,,,"Bingol, Hilal; Schmidt, Klaus Werner",,,,,,,,,,,,,,,,,,,,,"Bingöl, Hilal/GQP-2027-2022; schmidt, Klaus/O-2493-2013","Bingöl, Hilal/0000-0001-8759-1656; schmidt, Klaus/0000-0003-3840-2737",,,,,34,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Dlask, P; Beran, V; Kuda, F; Teichmann, M; Szeligova, N",,,,"Dlask, Petr; Beran, Vaclav; Kuda, Frantisek; Teichmann, Marek; Szeligova, Natalie",,,,,,,,,,,,,,,,,,,,,,"Szeligova, Natalie/0000-0002-2592-6147",,,,,50,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Huang, ZM; Xia, YK; Wang, WJ; Xu, GH; Xiang, XB; Xu, K",,,,"Huang, Zhemin; Xia, Yingkai; Wang, Wenjin; Xu, Guohua; Xiang, Xianbo; Xu, Kan",,,,,,,,,,,,,,,,,,,,,"Xiang, Xianbo/O-7613-2019","Xiang, Xianbo/0000-0002-6215-9864; Xia, Yingkai/0000-0002-7168-9437; Wang, Wenjin/0000-0003-3942-5308; Huang, Zhemin/0000-0002-7622-003X",,,,,49,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Jiang, T; Yan, Y; Wu, DF; Yu, SH; Li, TS",,,,"Jiang, Tao; Yan, Yan; Wu, Defeng; Yu, Shuanghe; Li, Tieshan",,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,26,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Liu, DY; Gao, XP; Huo, C",,,,"Liu, Dong-yu; Gao, Xiao-peng; Huo, Cong",,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,43,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Ning, J; Li, TS; Chen, CLP",,,,"Ning, Jun; Li, Tieshan; Chen, C. L. Philip",,,,,,,,,,,,,,,,,,,,,,"Ning, Jun/0000-0002-5828-1322",,,,,103,,,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Sun, C; Song, W; Jahangiri, V",,,,"Sun, Chao; Song, Wei; Jahangiri, Vahid",,,,,,,,,,,,,,,,,,,,,"Song, Wei/H-1553-2013; Sun, Chao/D-9917-2014; Jahangiri, Vahid/J-8800-2019","Sun, Chao/0000-0003-3909-0325; Song, Wei/0000-0003-2574-2353; Jahangiri, Vahid/0000-0001-9541-3091",,,,,66,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tang, LG; Wang, L; Wang, YT; Zhang, Y",,,,"Tang, Ligang; Wang, Lei; Wang, Yiting; Zhang, Yong",,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tian, WJ; Zhang, XP; Lv, DP; Wang, LA; Liu, Q",,,,"Tian, Wenjie; Zhang, Xiangpeng; Lv, Dongpo; Wang, Lina; Liu, Qi",,,,,,,,,,,,,,,,,,,,,"TIAN, WENJIE/HTL-5084-2023",,,,,,40,,,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhang, Q; Wang, XY; Zhang, ZZ; Zhou, FN; Hu, X",,,,"Zhang, Qin; Wang, Xing-yue; Zhang, Zheng-zhong; Zhou, Fu-na; Hu, Xiong",,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhong, YM; Yu, CY; Wang, R; Liu, CH; Lian, L",,,,"Zhong, Yiming; Yu, Caoyang; Wang, Rui; Liu, Chunhu; Lian, Lian",,,,,,,,,,,,,,,,,,,,,,"Zhong, Yiming/0000-0002-8452-0833; Yu, Caoyang/0000-0001-7448-1634",,,,,45,,,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhu, Q; Zhou, TY; Du, J",,,,"Zhu, Qi; Zhou, Tianyu; Du, Jing",,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Bu, XW; Jiang, BX; Lei, HM",,,,"Bu, Xiangwei; Jiang, Baoxu; Lei, Humin",,,,,,,,,,,,,,,,,,,,,"Bu, Xiangwei/ABA-5199-2020","Bu, Xiangwei/0000-0001-5783-6659",,,,,44,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Lacombe, R; Gros, S; Murgovski, N; Kulcsar, B",,,,"Lacombe, Remi; Gros, Sebastien; Murgovski, Nikolce; Kulcsar, Balazs",,,,,,,,,,,,,,,,,,,,,,"Lacombe, Remi/0000-0003-3430-7142; Gros, Sebastien/0000-0001-6054-2133; Murgovski, Nikolce/0000-0002-0960-7090; Kulcsar, Balazs/0000-0002-3688-1108",,,,,35,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhao, YY; Lin, H; Miao, F",,,,"Zhao, Yiyun; Lin, Hui; Miao, Feng",,,,,,,,,,,,,,,,,,,,,,"Zhao, Yiyun/0000-0001-6415-8008",,,,,32,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Huang, ZQ; Xue, K; Wang, P; Xu, ZY",,,,"Huang, Zhiqin; Xue, Kai; Wang, Ping; Xu, Zeyu",,,,,,,,,,,,,,,,,,,,,"Huang, Zhiqin/HNS-5916-2023","Huang, Zhiqin/0000-0002-6501-2331",,,,,28,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Deng, YJ; Zhang, XK; Zhao, DX; Ni, T; Gong, MD; Zhang, ZX",,,,"Deng, Yingjie; Zhang, Xianku; Zhao, Dingxuan; Ni, Tao; Gong, Mingde; Zhang, Zhuxin",,,,,,,,,,,,,,,,,,,,,,"Deng, Yingjie/0000-0003-0819-9619",,,,,51,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wang, XB; Li, SY; Liu, Q; Liu, ZJ",,,,"Wang, Xiaobang; Li, Siyu; Liu, Qiao; Liu, Zhijie",,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Jond, HB; Platos, J",,,,"Jond, Hossein B.; Platos, Jan",,,,,,,,,,,,,,,,,,,,,"B. Jond, Hossein/ABB-7801-2020; Platos, Jan/F-4563-2012","B. Jond, Hossein/0000-0002-8418-805X; Platos, Jan/0000-0002-8481-0136",,,,,46,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Chen, DX; Chen, LL; Qian, ZD",,,,"Chen, Daoxie; Chen, Leilei; Qian, Zhendong",,,,,,,,,,,,,,,,,,,,,,"Chen, Leilei/0000-0001-8447-1667",,,,,41,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Du, YC; Chen, J; Zhao, C; Liao, FX; Zhu, MX",,,,"Du, Yuchuan; Chen, Jing; Zhao, Cong; Liao, Feixiong; Zhu, Meixin",,,,,,,,,,,,,,,,,,,,,,"Liao, Feixiong/0000-0002-8911-0788",,,,,62,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Miao, JM; Sun, XY; Peng, C; Liu, WC",,,,"Miao, Jianming; Sun, Xingyu; Peng, Chao; Liu, Wenchao",,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tian, WD; Lin, XG; Zhang, W; Zhang, C; Zhang, KH; Du, X",,,,"Tian, Weida; Lin, Xiaogong; Zhang, Wei; Zhang, Chao; Zhang, Kaihang; Du, Xue",,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zacchini, L; Topini, A; Franchi, M; Secciani, N; Manzari, V; Bazzarello, L; Stifani, M; Ridolfi, A",,,,"Zacchini, Leonardo; Topini, Alberto; Franchi, Matteo; Secciani, Nicola; Manzari, Vincenzo; Bazzarello, Lorenzo; Stifani, Mirko; Ridolfi, Alessandro",,,,,,,,,,,,,,,,,,,,,,"Zacchini, Leonardo/0000-0003-3389-1631; SECCIANI, Nicola/0000-0003-4207-2451; Manzari, Vincenzo/0000-0001-7349-4089; Topini, Alberto/0000-0002-0498-2238; Stifani, Mirko/0000-0002-1653-5590; Franchi, Matteo/0000-0002-0786-7788; Ridolfi, Alessandro/0000-0001-8493-7594",,,,,63,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Diop, M; Boubezoul, A; Oukhellou, L; Espie, S; Bouaziz, S",,,,"Diop, Mohamed; Boubezoul, Abderrahmane; Oukhellou, Latifa; Espie, Stephane; Bouaziz, Samir",,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Gopmandal, F; Ghosh, A; Kumar, A",,,,"Gopmandal, Falguni; Ghosh, Arun; Kumar, Avinash",,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Cui, YF; Xu, J; Xing, W; Huang, F; Yan, ZP; Wu, D; Chen, T",,,,"Cui, Yunfei; Xu, Jian; Xing, Wen; Huang, Fei; Yan, Zheping; Wu, Di; Chen, Tao",,,,,,,,,,,,,,,,,,,,,,"Xu, Jian/0000-0002-1752-6557; , FeiHuang/0000-0002-4001-7806; Cui, Yunfei/0000-0002-8492-1610",,,,,48,,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Li, JJ; Xiang, XB; Dong, DL; Yang, SL",,,,"Li, Jinjiang; Xiang, Xianbo; Dong, Donglei; Yang, Shaolong",,,,,,,,,,,,,,,,,,,,,"Xiang, Xianbo/O-7613-2019","Xiang, Xianbo/0000-0002-6215-9864",,,,,49,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Tsai, CY",,,,"Tsai, Chung-Yu",,,,,,,,,,,,,,,,,,,,,,"Tsai, Chung-Yu/0000-0003-4774-6830",,,,,23,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhang, ZS; Zhang, Y; Wang, JW; Wang, HB",,,,"Zhang, Zhanshuo; Zhang, Yi; Wang, Jiawei; Wang, Hongbo",,,,,,,,,,,,,,,,,,,,,,"wang, hongbo/0000-0002-4947-750X",,,,,56,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Fu, MY; Zhang, GR; Xu, YJ",,,,"Fu, Mingyu; Zhang, Guorong; Xu, Yujie",,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Jiang, Y; Peng, ZH; Meng, CC; Liu, L; Wang, D; Li, TS",,,,"Jiang, Yue; Peng, Zhouhua; Meng, Chengcheng; Liu, Lu; Wang, Dan; Li, Tieshan",,,,,,,,,,,,,,,,,,,,,"; Wang, Dan/C-3036-2008","Jiang, Yue/0000-0001-8047-2961; Wang, Dan/0000-0002-4099-6004",,,,,68,,,26,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Liu, C; Xiang, XB; Yang, LC; Li, JJ; Yang, SL",,,,"Liu, Chuan; Xiang, Xianbo; Yang, Lichun; Li, Jinjiang; Yang, Shaolong",,,,,,,,,,,,,,,,,,,,,"Xiang, Xianbo/O-7613-2019","Xiang, Xianbo/0000-0002-6215-9864; Liu, Chuan/0000-0002-4048-1764; li, jinjiang/0000-0001-5057-3972",,,,,45,,,23,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Ma, ZQ; Liu, ZY; Wang, JY; Gao, YM",,,,"Ma, Ziqi; Liu, Zhuyong; Wang, Jianyao; Gao, Yiming",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Song, CY; Zhang, XK; Zhang, GQ",,,,"Song, Chunyu; Zhang, Xianku; Zhang, Guoqing",,,,,,,,,,,,,,,,,,,,,"zhang, guoqing/GXG-4800-2022",,,,,,28,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Song, S; Zhang, EH; Wang, WK; Liu, T",,,,"Song, Shuo; Zhang, Enhua; Wang, Weikai; Liu, Tao",,,,,,,,,,,,,,,,,,,,,,"Zhang, Enhua/0000-0003-1033-0241",,,,,42,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wang, SZ; Sun, ZY; Yuan, QM; Sun, Z; Wu, ZZ; Hsieh, TH",,,,"Wang, Shengzheng; Sun, Zhaoyang; Yuan, Qiumeng; Sun, Zhen; Wu, Zhizheng; Hsieh, Tsung-Hsuan",,,,,,,,,,,,,,,,,,,,,,"Sun, Zhaoyang/0000-0002-5621-8231; Wang, Shengzheng/0000-0001-7919-7851",,,,,34,,,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wu, ZY; Wang, Q; Huang, HC",,,,"Wu, Zheyuan; Wang, Qing; Huang, Haocai",,,,,,,,,,,,,,,,,,,,,,"Wu, Zheyuan/0000-0002-8381-5605; Huang, Haocai/0000-0001-8096-0439",,,,,32,,,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhang, GS; Zhang, YG; Xu, J; Chen, T; Zhang, W; Xing, W",,,,"Zhang, Gengshi; Zhang, Yonggang; Xu, Jian; Chen, Tao; Zhang, Wei; Xing, Wen",,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Zhong, Y; Yang, YK; He, K; Chen, CH",,,,"Zhong, Yong; Yang, Yakun; He, Kai; Chen, Chaohe",,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
J,"Wang, JW; Chen, XY; Liu, JG; Zhu, XF; Zhong, YL",,,,"Wang, Junwei; Chen, Xiyuan; Liu, Jianguo; Zhu, Xuefen; Zhong, Yulu",,,,,,,,,,,,,,,,,,,,,,"liu, jianguo/0000-0001-8890-6824; Wang, Junwei/0000-0002-9642-7724",,,,,41,,,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-23,,0
